ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1984-04-01,82620.2970041895,62320.52051131718,102629.76962886774,82620.2970041895,82620.2970041895,426.1587634534267,426.1587634534267,426.1587634534267,426.1587634534267,426.1587634534267,426.1587634534267,0.0,0.0,0.0,83046.45576764292
1984-07-01,83869.59680118345,63826.53904314896,102349.37465348927,83869.59680118345,83869.59680118345,134.00588320936615,134.00588320936615,134.00588320936615,134.00588320936615,134.00588320936615,134.00588320936615,0.0,0.0,0.0,84003.60268439281
1984-10-01,85132.62516737512,69231.40811298478,107813.17955336593,85132.62516737512,85132.62516737512,3407.6351032232783,3407.6351032232783,3407.6351032232783,3407.6351032232783,3407.6351032232783,3407.6351032232783,0.0,0.0,0.0,88540.2602705984
1985-01-01,86395.66406522978,69872.36523918319,108475.58655121758,86395.66406522978,86395.66406522978,2739.1567808472723,2739.1567808472723,2739.1567808472723,2739.1567808472723,2739.1567808472723,2739.1567808472723,0.0,0.0,0.0,89134.82084607705
1985-04-01,87631.24559573976,68285.64881961247,108690.69580159764,87631.24559573976,87631.24559573976,1118.8713161982464,1118.8713161982464,1118.8713161982464,1118.8713161982464,1118.8713161982464,1118.8713161982464,0.0,0.0,0.0,88750.116911938
1985-07-01,88880.55580992208,69998.65494269742,110070.76765144557,88880.55580992208,88880.55580992208,585.0853769155157,585.0853769155157,585.0853769155157,585.0853769155157,585.0853769155157,585.0853769155157,0.0,0.0,0.0,89465.6411868376
1985-10-01,90143.59470777673,74206.9164131609,111252.7390023173,90143.59470777673,90143.59470777673,2952.986708164878,2952.986708164878,2952.986708164878,2952.986708164878,2952.986708164878,2952.986708164878,0.0,0.0,0.0,93096.58141594162
1986-01-01,91406.63360563139,72845.51607922015,112383.90497971806,91406.63360563139,91406.63360563139,1884.5548749980755,1884.5548749980755,1884.5548749980755,1884.5548749980755,1884.5548749980755,1884.5548749980755,0.0,0.0,0.0,93291.18848062947
1986-04-01,92642.21513614137,75426.7914388969,112970.0770111967,92642.21513614137,92642.21513614137,1798.5492753761152,1798.5492753761152,1798.5492753761152,1798.5492753761152,1798.5492753761152,1798.5492753761152,0.0,0.0,0.0,94440.76441151749
1986-07-01,93891.5253503237,75967.03474866685,114499.57016148316,93891.5253503237,93891.5253503237,1039.8746902623302,1039.8746902623302,1039.8746902623302,1039.8746902623302,1039.8746902623302,1039.8746902623302,0.0,0.0,0.0,94931.40004058603
1986-10-01,95154.85637655387,77125.84024314841,117997.28105584078,95154.85637655387,95154.85637655387,2494.8880845655767,2494.8880845655767,2494.8880845655767,2494.8880845655767,2494.8880845655767,2494.8880845655767,0.0,0.0,0.0,97649.74446111945
1987-01-01,96418.18740278402,77838.20311291513,116806.07455616147,96418.18740278402,96418.18740278402,1022.5673303094512,1022.5673303094512,1022.5673303094512,1022.5673303094512,1022.5673303094512,1022.5673303094512,0.0,0.0,0.0,97440.75473309348
1987-04-01,97654.05471105265,81006.51820364612,118967.77977336278,97654.05471105265,97654.05471105265,2464.4124082528942,2464.4124082528942,2464.4124082528942,2464.4124082528942,2464.4124082528942,2464.4124082528942,0.0,0.0,0.0,100118.46711930554
1987-07-01,98903.65387830205,82087.47449987609,118969.54937917757,98903.65387830205,98903.65387830205,1497.95132111957,1497.95132111957,1497.95132111957,1497.95132111957,1497.95132111957,1497.95132111957,0.0,0.0,0.0,100401.60519942163
1987-10-01,100166.98490453222,82667.83961962002,121534.85927346646,100166.98490453222,100166.98490453222,2033.7413441765177,2033.7413441765177,2033.7413441765177,2033.7413441765177,2033.7413441765177,2033.7413441765177,0.0,0.0,0.0,102200.72624870874
1988-01-01,101430.31593076239,82961.70475482744,120690.60382665531,101430.31593076239,101430.31593076239,154.16566272049744,154.16566272049744,154.16566272049744,154.16566272049744,154.16566272049744,154.16566272049744,0.0,0.0,0.0,101584.48159348288
1988-04-01,102679.91537004909,85178.75285740188,123124.13468497587,102679.91537004909,102679.91537004909,426.15876345478915,426.15876345478915,426.15876345478915,426.15876345478915,426.15876345478915,426.15876345478915,0.0,0.0,0.0,103106.07413350388
1988-07-01,103929.51480933581,83966.66485765639,123125.6292032459,103929.51480933581,103929.51480933581,134.00588321083677,134.00588321083677,134.00588321083677,134.00588321083677,134.00588321083677,134.00588321083677,0.0,0.0,0.0,104063.52069254665
1988-10-01,105192.8461105927,88227.43468821392,129107.18505599126,105192.8461105927,105192.8461105927,3407.635103223868,3407.635103223868,3407.635103223868,3407.635103223868,3407.635103223868,3407.635103223868,0.0,0.0,0.0,108600.48121381657
1989-01-01,106456.1774118496,89370.96726849394,128523.61534964983,106456.1774118496,106456.1774118496,2739.156780848654,2739.156780848654,2739.156780848654,2739.156780848654,2739.156780848654,2739.156780848654,0.0,0.0,0.0,109195.33419269825
1989-04-01,107692.04498916614,88974.41281415317,127612.69239846065,107692.04498916614,107692.04498916614,1118.8713161980302,1118.8713161980302,1118.8713161980302,1118.8713161980302,1118.8713161980302,1118.8713161980302,0.0,0.0,0.0,108810.91630536417
1989-07-01,108941.64442845284,89909.89074581895,127943.64025154122,108941.64442845284,108941.64442845284,585.085376914757,585.085376914757,585.085376914757,585.085376914757,585.085376914757,585.085376914757,0.0,0.0,0.0,109526.72980536759
1989-10-01,110204.97572970974,94431.17327602196,133793.22631241678,110204.97572970974,110204.97572970974,2952.9867081623943,2952.9867081623943,2952.9867081623943,2952.9867081623943,2952.9867081623943,2952.9867081623943,0.0,0.0,0.0,113157.96243787213
1990-01-01,111468.54301404009,93274.46507336659,131249.86945408757,111468.54301404009,111468.54301404009,1884.5548749990207,1884.5548749990207,1884.5548749990207,1884.5548749990207,1884.5548749990207,1884.5548749990207,0.0,0.0,0.0,113353.09788903911
1990-04-01,112704.64144436325,95333.63524727579,133219.65433547876,112704.64144436325,112704.64144436325,1798.5492753752103,1798.5492753752103,1798.5492753752103,1798.5492753752103,1798.5492753752103,1798.5492753752103,0.0,0.0,0.0,114503.19071973846
1990-07-01,113954.47430169,95888.62748657547,133139.40624057467,113954.47430169,113954.47430169,1039.8746902632968,1039.8746902632968,1039.8746902632968,1039.8746902632968,1039.8746902632968,1039.8746902632968,0.0,0.0,0.0,114994.3489919533
1990-10-01,115218.04158602035,98153.76931278163,136712.60291003677,115218.04158602035,115218.04158602035,2494.888084565623,2494.888084565623,2494.888084565623,2494.888084565623,2494.888084565623,2494.888084565623,0.0,0.0,0.0,117712.92967058597
1991-01-01,116481.60887035071,99853.15195071061,136881.54591669264,116481.60887035071,116481.60887035071,1022.5673303074134,1022.5673303074134,1022.5673303074134,1022.5673303074134,1022.5673303074134,1022.5673303074134,0.0,0.0,0.0,117504.17620065813
1991-04-01,117717.70730067388,100297.50410140549,139048.2458740579,117717.70730067388,117717.70730067388,2464.4124082526396,2464.4124082526396,2464.4124082526396,2464.4124082526396,2464.4124082526396,2464.4124082526396,0.0,0.0,0.0,120182.11970892652
1991-07-01,118967.54015800063,103661.80237894776,139620.38794880745,118967.54015800063,118967.54015800063,1497.9513211212684,1497.9513211212684,1497.9513211212684,1497.9513211212684,1497.9513211212684,1497.9513211212684,0.0,0.0,0.0,120465.49147912189
1991-10-01,120231.11290019877,102861.43071199465,139685.44698830773,120231.11290019877,120231.11290019877,2033.741344177402,2033.741344177402,2033.741344177402,2033.741344177402,2033.741344177402,2033.741344177402,0.0,0.0,0.0,122264.85424437617
1992-01-01,121494.6856423969,102273.82667118899,141177.46764384935,121494.6856423969,121494.6856423969,154.16566272145067,154.16566272145067,154.16566272145067,154.16566272145067,154.16566272145067,154.16566272145067,0.0,0.0,0.0,121648.85130511835
1992-04-01,122744.52389826681,103811.70294427364,143510.01365251458,122744.52389826681,122744.52389826681,426.15876345482906,426.15876345482906,426.15876345482906,426.15876345482906,426.15876345482906,426.15876345482906,0.0,0.0,0.0,123170.68266172164
1992-07-01,123994.36215413667,105834.75466785365,143250.00005570246,123994.36215413667,123994.36215413667,134.00588321116118,134.00588321116118,134.00588321116118,134.00588321116118,134.00588321116118,134.00588321116118,0.0,0.0,0.0,124128.36803734784
1992-10-01,125257.93489633483,110768.38558981888,147827.7986491843,125257.93489633483,125257.93489633483,3407.6351032244884,3407.6351032244884,3407.6351032244884,3407.6351032244884,3407.6351032244884,3407.6351032244884,0.0,0.0,0.0,128665.56999955932
1993-01-01,126521.50763853296,110195.28445398311,148468.39962494324,126521.50763853296,126521.50763853296,2739.1567808481614,2739.1567808481614,2739.1567808481614,2739.1567808481614,2739.1567808481614,2739.1567808481614,0.0,0.0,0.0,129260.66441938112
1993-04-01,127779.11908481605,111300.37502241827,147927.78921339734,127779.11908481605,127779.11908481605,1118.8713161991182,1118.8713161991182,1118.8713161991182,1118.8713161991182,1118.8713161991182,1118.8713161991182,0.0,0.0,0.0,128897.99040101517
